surrogate,lr,alpha,best_acc,baseline_epoch
SuperSpike,0.0001,0.05,27.72,
SuperSpike,0.0001,0.101,34.03,
SuperSpike,0.0001,0.206,45.44,
SuperSpike,0.0001,0.417,51.92,
SuperSpike,0.0001,0.847,53.89,
SuperSpike,0.0001,1.72,57.56,
SuperSpike,0.0001,3.49,58.46,
SuperSpike,0.0001,7.07,58.25,
SuperSpike,0.0001,14.3,57.65,
SuperSpike,0.0001,29.1,58.33,
SuperSpike,0.0001,59.0,52.28,
SuperSpike,0.0001,120.0,10.0,
SuperSpike,0.0001,243.0,10.0,
SuperSpike,0.0001,493.0,10.0,
SuperSpike,0.0001,1000.0,10.0,
SuperSpike,0.0004,0.05,33.54,
SuperSpike,0.0004,0.101,44.57,
SuperSpike,0.0004,0.206,52.52,
SuperSpike,0.0004,0.417,60.33,
SuperSpike,0.0004,0.847,64.74,
SuperSpike,0.0004,1.72,67.91,
SuperSpike,0.0004,3.49,68.65,
SuperSpike,0.0004,7.07,68.5,
SuperSpike,0.0004,14.3,68.82,
SuperSpike,0.0004,29.1,67.63,
SuperSpike,0.0004,59.0,64.19,
SuperSpike,0.0004,120.0,57.01,
SuperSpike,0.0004,243.0,10.0,
SuperSpike,0.0004,493.0,10.0,
SuperSpike,0.0004,1000.0,10.0,
SuperSpike,0.002,0.05,44.11,
SuperSpike,0.002,0.101,49.63,
SuperSpike,0.002,0.206,57.25,
SuperSpike,0.002,0.417,66.61,
SuperSpike,0.002,0.847,68.82,
SuperSpike,0.002,1.72,70.59,7.0
SuperSpike,0.002,3.49,72.09,7.0
SuperSpike,0.002,7.07,72.45,5.0
SuperSpike,0.002,14.3,71.92,6.0
SuperSpike,0.002,29.1,69.64,
SuperSpike,0.002,59.0,62.56,
SuperSpike,0.002,120.0,51.05,
SuperSpike,0.002,243.0,10.0,
SuperSpike,0.002,493.0,10.0,
SuperSpike,0.002,1000.0,10.0,
SuperSpike,0.006,0.05,35.64,
SuperSpike,0.006,0.101,50.82,
SuperSpike,0.006,0.206,62.31,
SuperSpike,0.006,0.417,66.78,
SuperSpike,0.006,0.847,68.16,
SuperSpike,0.006,1.72,70.74,9.0
SuperSpike,0.006,3.49,71.07,8.0
SuperSpike,0.006,7.07,68.5,
SuperSpike,0.006,14.3,63.22,
SuperSpike,0.006,29.1,47.23,
SuperSpike,0.006,59.0,38.84,
SuperSpike,0.006,120.0,21.04,
SuperSpike,0.006,243.0,10.0,
SuperSpike,0.006,493.0,10.0,
SuperSpike,0.006,1000.0,10.0,
SuperSpike,0.03,0.05,12.48,
SuperSpike,0.03,0.101,40.43,
