Depth,Alpha,Seed,Init_Chi,Init_FR,Train_Chi_Mean,BestAccuracy
Shallow,0.5,0,0.2365478819480628,0.05758678913116455,0.9928493910748675,60.97
Shallow,0.5,1,0.22405059671144437,0.059115439653396606,1.1792028562030166,60.37
Shallow,0.5,2,0.24678026925598973,0.05824616551399231,1.1306412644066148,61.64
Shallow,0.6992167472484911,0,0.3095819333622009,0.05758678913116455,1.3233988314564502,61.96
Shallow,0.6992167472484911,1,0.29335529917555514,0.059115439653396606,1.622930345060464,60.68
Shallow,0.6992167472484911,2,0.32323077224154134,0.05824616551399231,1.5312047403778775,62.47
Shallow,0.9778081192655208,0,0.39069311911001375,0.05758678913116455,1.6942283385568757,63.21
Shallow,0.9778081192655208,1,0.3703780364564022,0.059115439653396606,2.1023886370731106,62.15
Shallow,0.9778081192655208,2,0.40810611936612046,0.05824616551399231,1.9703218494286436,63.62
Shallow,1.3673996251720042,0,0.4735358551086899,0.05758678913116455,2.0464576568362984,64.53
Shallow,1.3673996251720042,1,0.44909133958026876,0.059115439653396606,2.5469219212863656,63.97
Shallow,1.3673996251720042,2,0.4940546028506126,0.05824616551399231,2.386175850999067,64.62
Shallow,1.9122174362031499,0,0.5575982660993664,0.05758678913116455,2.3022275016101332,65.86
Shallow,1.9122174362031499,1,0.5292433953467971,0.059115439653396606,2.842119919522667,65.01
Shallow,1.9122174362031499,2,0.5794564781163504,0.05824616551399231,2.703351676684875,65.91
Shallow,2.6741089115476315,0,0.6569963291265353,0.05758678913116455,2.4596059102035257,67.53
Shallow,2.6741089115476315,1,0.6254393682660621,0.059115439653396606,2.9576670747570706,66.22
Shallow,2.6741089115476315,2,0.6794008783709128,0.05824616551399231,2.8346672074137382,67.22
Shallow,3.739563469841075,0,0.7906661349245048,0.05758678913116455,2.594827771986502,68.69
Shallow,3.739563469841075,1,0.7574626319905593,0.059115439653396606,2.9808110654288376,67.44
Shallow,3.739563469841075,2,0.8152873069270867,0.05824616551399231,2.937176598330017,67.88
Shallow,5.229530811023117,0,0.9619841776806106,0.05758678913116455,2.784680200749837,68.91
Shallow,5.229530811023117,1,0.927997464740936,0.059115439653396606,3.12239057482262,68.26
Shallow,5.229530811023117,2,0.9907451532468686,0.05824616551399231,3.0655356063811277,68.44
Shallow,7.313151046638694,0,1.1677527246752182,0.05758678913116455,3.028155444371719,68.83
Shallow,7.313151046638694,1,1.132276419834197,0.059115439653396606,3.3426890235792635,68.48
Shallow,7.313151046638694,2,1.2020891827344407,0.05824616551399231,3.2815368982530373,69.15
Shallow,10.226955373935212,0,1.4127030824468532,0.05758678913116455,3.3488123003380914,68.59
Shallow,10.226955373935212,1,1.3735159222223197,0.059115439653396606,3.631992596991823,68.18
Shallow,10.226955373935212,2,1.4542992781126993,0.05824616551399231,3.5953175057928695,68.27
Shallow,14.301716941636915,0,1.7066031954792682,0.05758678913116455,3.7150711750282674,68.6
Shallow,14.301716941636915,1,1.6596256370620814,0.059115439653396606,3.952874740856122,68.38
Shallow,14.301716941636915,2,1.7580934263536334,0.05824616551399231,3.9885635320439845,68.2
Shallow,20.000000000000004,0,2.0577169874888463,0.05758678913116455,4.164896938517392,67.76
Shallow,20.000000000000004,1,1.9979530228916478,0.059115439653396606,4.336792956703771,68.6
Shallow,20.000000000000004,2,2.1231379750777037,0.05824616551399231,4.369505382415641,67.97
